"author","datetime_","datetime_left","nest","bird_incubate","gps_left","wp_left","dist_left_nest","behav_left","activity","n_eggs","n_chicks","state","eggs_collected","captures_id","bird1_cb","dist_bird1_app","bird2_cb","dist_bird2_app","RFID","RFID_ID","MSR","MSR_ID","TT","TT_ID","treatment","recorder","recorder_ID","balance","balance_ID","ARS","ARS_ID","fake_egg","fake_egg_ID","cage","remarks","visits_pk"
"lv","2013-07-01 20:28:00","2013-07-01 21:01:00","a401","y","7","174",\N,"w","ca,l","4","0","w","0","218",\N,\N,\N,\N,"on","26","on","306852",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"892"
"lv,ms","2013-07-02 00:12:00","2013-07-02 00:43:00","a701","y","7","176",\N,"w","ca","4","0","w","0","219",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"noba and rc around","893"
"lv","2013-07-01 21:15:00","2013-07-01 21:28:00","s704","y","6","149",\N,"fo","l",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"download","1",\N,\N,\N,"bird hit cage once before fo. wp antenna 6-195, batt 80%, reset time receiver with time computer","894"
"lv","2013-07-01 22:42:00","2013-07-01 22:45:00","s414","y",\N,\N,\N,"fo","f","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"895"
"lv","2013-07-01 22:54:00","2013-07-01 23:05:00","s414","y",\N,\N,\N,"fo","e","4","0","w","0",\N,"noba","3",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"896"
"lv","2013-07-01 23:36:00","2013-07-01 23:38:00","s410","n",\N,\N,\N,\N,"c","0","0","p","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"897"
"fh,mb","2013-07-01 20:28:00","2013-07-01 20:32:00","w510","y","5","238","23","fo","l,c","4","0","w","0",\N,"x-lb,gf,gr/m-o,db,db","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,"on","999",\N,\N,\N,\N,\N,\N,\N,"started a couple of videos wesas sitting onto the nest. observed exchange: female arrived, approached nest slowly, first cautious, then becoming less anxious. both  birds were calling and approaching, then he left and after a couple of minutes she was sitting on the nest.","898"
"fh,mb","2013-07-01 21:01:00","2013-07-01 21:04:00","w510","y","5","238","23","fo","l,c","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"off","999",\N,\N,\N,\N,\N,\N,\N,"took camera off. video 1: 20:32-20:36, video 2: 20:37 - 20:42, video 3: 20:57 - 21:01. Tried another video between video 2 and 3 but camera went off.","899"
"fh,mb","2013-07-01 20:32:00","2013-07-01 21:01:00","w510","y","5","238","23","fo","l,c","4","0","w","0",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"download","999",\N,\N,\N,\N,\N,\N,\N,\N,"900"
"fh","2013-07-02 08:55:00","2013-07-02 08:59:00","s527","y",\N,\N,\N,\N,"l","4","0","w","0",\N,\N,\N,\N,\N,"download","1",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"901"
